company_name,mailing_address,contact_name,contact_role,contact_email_or_phone,confidence_score,source,needs_human_review
Cedar Ridge Plumbing LLC,"4821 Maple Ave, Lincoln, NE 68504",Daniel Ortega,Owner,d.ortega@cedarridgeplumbing.com,95,mock://registry/ne/cedar-ridge-plumbing | mock://listing/cedar-ridge-plumbing | mock://enrichment/cedar-ridge-plumbing,false
Bayview Auto Repair,"129 Harbor St, Tacoma, WA 98402",Karen Liu,Owner,karen@bayviewauto.com,74,mock://registry/wa/bayview-auto-repair | mock://enrichment/bayview-auto-repair,false
Sunbelt Roofing Co,"7714 Desert Bloom Rd, Mesa, AZ 85207",,,,16,mock://enrichment/sunbelt-roofing,true
Riverside Print & Sign,"302 W 3rd St, Davenport, IA 52801",,,,24,mock://enrichment/riverside-print-sign,true
Magnolia Family Dental,"1188 Peachtree Ln, Macon, GA 31201",,,,20,mock://listing/magnolia-family-dental,true
Northgate HVAC Services,"56 Industrial Pkwy, Akron, OH 44310",,,,35,mock://registry/oh/northgate-hvac,true
Pioneer Landscaping Inc,"940 Prairie View Dr, Boise, ID 83704",Maria Gomez,President,maria@pioneerlandscaping.com,95,mock://registry/id/pioneer-landscaping | mock://listing/pioneer-landscaping | mock://enrichment/pioneer-landscaping,false
Harbor Light Electric,"22 Dockside Ave, New Bedford, MA 02740",Sean Murphy,Owner,+1-508-555-0160,75,mock://registry/ma/harbor-light-electric | mock://listing/harbor-light-electric,false
Summit Pest Control,"6310 Highland Blvd, Reno, NV 89506",,,,22,mock://enrichment/summit-pest-control,true
Greenfield Catering Group,"415 Orchard St, Springfield, MO 65806",Angela Brooks,Owner,a.brooks@greenfieldcater.com,73,mock://registry/mo/greenfield-catering | mock://enrichment/greenfield-catering,false
Lakeside Auto Glass,"88 Lakeshore Dr, Madison, WI 53703",,,,42,mock://listing/lakeside-auto-glass | mock://enrichment/lakeside-auto-glass,true
Ironclad Welding Shop,"1701 Foundry Rd, Pittsburgh, PA 15201",Robert Kowalski,Owner,bob@ironcladweld.com,95,mock://registry/pa/ironclad-welding | mock://enrichment/ironclad-welding,false
Coastal Breeze Pool Service,"233 Seagrape Way, Sarasota, FL 34236",,,,55,mock://registry/fl/coastal-breeze-pool,true
Redwood Cabinetry,"509 Timber Ct, Eugene, OR 97401",,,,0,not_found,true
Anchor Marine Supply,"17 Wharf St, Portland, ME 04101",,,,37,mock://enrichment/anchor-marine,true
Desert Sky Solar,"4400 Sunray Dr, Tucson, AZ 85706",,,,0,not_found,true
Brookside Veterinary Clinic,"760 Willow Bend, Chattanooga, TN 37402",Dr. Emily Hart,Owner,emily.hart@brooksidevet.com,95,mock://registry/tn/brookside-vet | mock://listing/brookside-vet | mock://enrichment/brookside-vet,false
Cornerstone Masonry,"311 Brickyard Ln, Wichita, KS 67202",,,,0,not_found,true
Velvet Thread Tailoring,"55 Garment Row, Allentown, PA 18101",,,,0,not_found,true
Frontier Towing & Recovery,"9201 Range Rd, Cheyenne, WY 82001",,,,0,not_found,true
Blue Heron Landscaping,"144 Marsh View Dr, Charleston, SC 29401",,,,0,not_found,true
Ace Mobile Locksmith,"27 Keystone Ave, Toledo, OH 43604",,,,0,not_found,true
Maple Leaf Bakery,"612 Baker St, Burlington, VT 05401",,,,0,not_found,true
Granite Peak Surveying,"800 Summit Rd, Helena, MT 59601",,,,0,not_found,true
Tidewater Plumbing & Heating,"45 Estuary Ln, Norfolk, VA 23510",George Whitfield,Owner,g.whitfield@tidewaterph.com,74,mock://registry/va/tidewater-plumbing | mock://enrichment/tidewater-plumbing,false
Sierra Vista Auto Body,"3320 Foothill Dr, Fresno, CA 93720",,,,0,not_found,true
Hometown Hardware Co,"19 Main St, Dubuque, IA 52001",,,,26,mock://enrichment/hometown-hardware,true
Evergreen Tree Care,"507 Cedar Hollow, Spokane, WA 99201",,,,0,not_found,true
Liberty Sign & Awning,"1290 Freedom Blvd, Allen, TX 75002",,,,0,not_found,true
Crescent Moon Cafe,"73 Bourbon Walk, Lafayette, LA 70501",,,,0,not_found,true
